ID,Class,Potential_Energy,N_H1,N_H2,N_I,N_F,H1_H2,H1_I,H1_F,H2_I,H2_F,N_H1_Delta,N_H2_Delta,N_I_Delta,N_F_Delta,H1_H2_Delta,H1_I_Delta,H1_F_Delta,H2_I_Delta,H2_F_Delta
324,DR,-167.0633279643,1.08800565985815,1.08265091791516,2.04925538579025,11.3671451606531,1.6172780153012,2.67146541878867,11.7605041868748,2.59034720054156,10.8344371681206,0.0140296973793337,0.160169099641026,-0.0163754531974147,-0.0130668995617054,0.0999666328304916,-0.00516454154397117,-0.0398136164856187,0.0119264505853667,-0.179317576081941
325,DR,-167.0563414694,0.991775911744547,1.17210873493109,2.04218651046644,11.3556658002734,1.62925784085465,2.5668647654742,11.6724073817335,2.55189067701305,10.6797297307688,-0.096229748113601,0.0894578170159348,-0.00706887532380973,-0.0114793603796901,0.0119798255534453,-0.104600653314463,-0.0880968051412623,-0.0384565235285064,-0.154707437351799
326,DR,-167.0671414004,0.980407101188873,1.05190655642354,2.0409065363163,11.3349704802396,1.56199267050002,2.49054077236158,11.6075421691152,2.39737751278466,10.6424002243912,-0.0113688105556745,-0.120202178507551,-0.00127997415014036,-0.0206953200337452,-0.0672651703546323,-0.0763239931126245,-0.0648652126183507,-0.154513164228398,-0.0373295063775441
327,DR,-167.052247305,1.07852574283541,0.915428389140038,2.04104572971359,11.3110676595613,1.56948274354384,2.47563630218357,11.583730772786,2.25911329963691,10.6442571141265,0.0981186416465362,-0.136478167283504,0.000139193397291848,-0.023902820678364,0.00749007304382898,-0.0149044701780077,-0.0238113963291831,-0.138264213147745,0.00185688973531306
328,DR,-167.0605768435,1.07929754433124,1.05931936214039,2.04261480705368,11.3004907788655,1.69590186547783,2.42806591318545,11.5474582217675,2.2989997654331,10.5129470353061,0.000771801495831781,0.143890973000352,0.00156907734009604,-0.0105768806958189,0.126419121933984,-0.0475703889981189,-0.0362725510184703,0.0398864657961884,-0.131310078820446
329,DR,-167.0514852609,0.983444385661148,1.16628814702435,2.04594880914888,11.2881994683192,1.70947612542909,2.35895907243156,11.4974052649522,2.38953734363779,10.4543439166527,-0.0958531586700924,0.106968784883958,0.00333400209519974,-0.0122913105462885,0.0135742599512643,-0.0691068407538951,-0.0500529568152981,0.0905375782046902,-0.0586031186533855
330,DR,-167.0663969633,0.986777736995633,1.06025087161984,2.04998160445733,11.2635017817243,1.61020224858897,2.37364701498562,11.4856375036029,2.4262461910629,10.5709713754097,0.00333335133448498,-0.106037275404513,0.00403279530844891,-0.0246976865948696,-0.0992738768401185,0.0146879425540631,-0.0117677613493026,0.036708847425114,0.116627458756978
331,DR,-167.0585960275,1.0784784680104,0.923197484046891,2.05429514372705,11.2347128727549,1.5404718853166,2.4637604507166,11.517782090268,2.48225737919267,10.7419948426077,0.0917007310147625,-0.137053387572944,0.00431353926971667,-0.0287889089693696,-0.0697303632723703,0.0901134357309799,0.0321445866651295,0.0560111881297645,0.171023467198008
332,DR,-167.0661756032,1.07124999285717,1.05840021519219,2.05737664816808,11.2176839700526,1.59666012261296,2.52014780647644,11.5453010130535,2.67864308970694,10.7898544244977,-0.00722847515322478,0.135202731145301,0.00308150444102973,-0.0170289027023696,0.056188237296358,0.0563873557598358,0.0275189227854558,0.196385710514276,0.0478595818900391
333,DR,-167.0531802581,0.982944460452725,1.16738028806025,2.06699645776259,11.2045963259567,1.61117992769764,2.53356623709135,11.5613363923453,2.81643304923821,10.8100361327473,-0.0883055324044455,0.108980072868058,0.00961980959451436,-0.0130876440958083,0.0145198050846824,0.013418430614911,0.0160353792917842,0.137789959531267,0.0201817082495381
334,DR,-167.0642495766,0.993400383861828,1.06350058817583,2.08550143940377,11.1878807411823,1.57392874038881,2.59069571646122,11.6172199945253,2.76818403665397,10.8415258211143,0.0104559234091022,-0.103879699884417,0.0185049816411773,-0.0167155847744063,-0.037251187308837,0.0571294793698711,0.0558836021800015,-0.0482490125842441,0.0314896883670546
335,DR,-167.0535493371,1.0733621829666,0.912386542177786,2.10706973415155,11.1722795704054,1.59886943824665,2.66749295174047,11.6943856637605,2.64671632200938,10.8329320420352,0.0799617991047679,-0.151114045998047,0.0215682947477736,-0.0156011707769874,0.0249406978578446,0.0767972352792521,0.0771656692351943,-0.121467714644582,-0.00859377907915615
336,DR,-167.0656926642,1.04545170889397,1.04877077522761,2.1225591997611,11.1699989259492,1.76289657759314,2.66611701019288,11.7064743894841,2.67705425189734,10.6967637836033,-0.0279104740726233,0.136384233049822,0.0154894656095572,-0.00228064445614962,0.164027139346485,-0.00137594154758558,0.0120887257236628,0.0303379298879602,-0.136168258431846
337,DR,-167.0501160244,0.966113468778384,1.16346527611927,2.13619716254848,11.1688436872248,1.83253162808041,2.62558460331247,11.6652127376379,2.68912449873018,10.564888151356,-0.0793382401155877,0.114694500891661,0.0136379627873802,-0.00115523872437429,0.0696350504872714,-0.0405324068804114,-0.0412616518462325,0.012070246832836,-0.131875632247304
338,DR,-167.0661551498,1.01520947505006,1.04899415922567,2.14599379373552,11.1550744904832,1.76280724590028,2.65362066816228,11.6491404433155,2.57180377255148,10.5398433589499,0.0490960062716755,-0.114471116893597,0.00979663118703478,-0.0137691967416433,-0.0697243821801234,0.0280360648498066,-0.016072294322397,-0.117320726178704,-0.0250447924061206
339,DR,-167.0546081446,1.08095495251802,0.911275017572896,2.1506093485233,11.1386576015607,1.63826342013938,2.68476716844226,11.6079711224793,2.4524242911001,10.540498598123,0.0657454774679558,-0.137719141652776,0.00461555478778175,-0.0164168889224605,-0.124543825760908,0.0311465002799758,-0.0411693208362074,-0.119379481451373,0.000655239173129374
340,DR,-167.0678849822,1.03524740359756,1.07145078877559,2.14987542508969,11.1354212542044,1.61218968699156,2.63986285066639,11.4977672602021,2.494458192121,10.3963147375927,-0.0457075489204539,0.160175771202698,-0.000733923433613892,-0.00323634735627643,-0.0260737331478189,-0.0449043177758628,-0.110203862277174,0.0420339010208943,-0.144183860530294
341,DR,-167.0516712163,0.984790898048444,1.18717006496544,2.14644738739189,11.1265668195108,1.55759064247635,2.57303127395357,11.3780176975076,2.54026932946568,10.3034618135706,-0.0504565055491177,0.115719276189848,-0.0034280376977911,-0.00885443469368141,-0.0545990445152125,-0.0668315767128251,-0.119749562694551,0.0458111373446832,-0.0928529240221199
342,DR,-167.0624851567,1.03994566812897,1.08603529529507,2.14021731490908,11.1011859220767,1.46694788846906,2.55102595256759,11.3095492008332,2.49519202266509,10.3562785544964,0.0551547700805239,-0.101134769670377,-0.00623007248281082,-0.0253808974341112,-0.0906427540072887,-0.0220053213859743,-0.0684684966743276,-0.0450773068005903,0.0528167409257545
343,DR,-167.052815314,1.0886687749876,0.920136136588814,2.13208906444595,11.0675074798635,1.42969329100451,2.52566353193957,11.2856392774128,2.43775643709843,10.4540119616093,0.0487231068586311,-0.165899158706252,-0.00812825046313437,-0.0336784422131622,-0.0372545974645442,-0.0253624206280261,-0.0239099234204616,-0.0574355855666604,0.0977334071129565
344,DR,-167.0704210035,1.04084855099586,1.03689111678241,2.11967625982426,11.0429971174786,1.58769895572691,2.46008333940051,11.2855379672888,2.52696597001935,10.3899329012351,-0.047820223991738,0.116754980193592,-0.0124128046216891,-0.0245103623848735,0.1580056647224,-0.065580192539056,-0.000101310123971743,0.0892095329209228,-0.0640790603741923
345,DR,-167.0544523869,0.976581776620955,1.17590054875588,2.10489347002043,11.0168634260917,1.76270614338435,2.40758666877739,11.306432702765,2.63166034046932,10.3239861492801,-0.0642667743749066,0.139009431973476,-0.0147827898038324,-0.0261336913869563,0.175007187657436,-0.0524966706231189,0.0208947354761921,0.104694370449963,-0.0659467519550478
346,DR,-167.0645364786,1.02751447710333,1.09123905252018,2.09002953260811,10.9791578546535,1.79799893541658,2.44039976830596,11.3635549064882,2.61074378056187,10.3813280580395,0.0509327004823732,-0.0846614962357062,-0.0148639374123185,-0.0377055714381598,0.0352927920322368,0.0328130995285685,0.0571222037232406,-0.020916559907441,0.0573419087593976
347,DR,-167.0540594307,1.07158724112482,0.908970731717229,2.07442569197066,10.9387751650487,1.68901269051938,2.50234980000816,11.4074215280008,2.53866289523693,10.4920879491276,0.0440727640214886,-0.182268320802947,-0.015603840637453,-0.0403826896047921,-0.108986244897206,0.0619500317021968,0.0438666215125902,-0.0720808853249459,0.11075989108814
348,DR,-167.0695264979,1.00606057498763,1.02378005294019,2.05160216861819,10.9131359865517,1.67488075352663,2.53399289847928,11.3977210326863,2.64078834815649,10.4734205828625,-0.0655266661371863,0.114809321222963,-0.0228235233524643,-0.025639178496986,-0.0141319369927515,0.0316430984711276,-0.00970049531458095,0.102125452919563,-0.0186673662651007
349,DR,-167.0536305336,0.978373891480559,1.1660134496323,2.02901239822845,10.8910665342908,1.68575896637209,2.59074205073038,11.3904391132283,2.7422595643274,10.4222889205176,-0.0276866835070707,0.142233396692106,-0.0225897703897409,-0.0220694522609115,0.0108782128454654,0.0567491522510961,-0.00728191945791856,0.101471216170906,-0.0511316623449058
350,DR,-167.0617679163,1.05641257466514,1.08157532369155,2.01568493165153,10.8640539557127,1.6130497645418,2.68615779981001,11.412926362713,2.66747712497801,10.4171822190363,0.0780386831845813,-0.0844381259407525,-0.0133274665769187,-0.0270125785780717,-0.0727092018302891,0.0954157490796339,0.0224872494846355,-0.0747824393493843,-0.00510670148126557
351,DR,-167.05265169,1.07027626739101,0.912850473448543,2.01492028978907,10.8418293357763,1.4992702383946,2.70121752005356,11.3898265622323,2.50623096917606,10.4036380079768,0.0138636927258697,-0.168724850243003,-0.00076464186246028,-0.0222246199364875,-0.113779526147202,0.0150597202435443,-0.0230998004807024,-0.161246155801948,-0.0135442110595356
352,DR,-167.0682401841,0.990309442205632,1.03221752994795,2.01832304121181,10.8362305218663,1.57649128860529,2.61742366975463,11.3155890917679,2.4963022371052,10.2413437085671,-0.0799668251853789,0.119367056499403,0.00340275142274038,-0.00559881390994121,0.0772210502106834,-0.0837938502989255,-0.0742374704643574,-0.00992873207086031,-0.16229429940965
353,DR,-167.0557640332,0.986283994384592,1.1707209099864,2.02522622666931,10.8309530174629,1.73762918192849,2.5522221075145,11.2635550477763,2.50844407663546,10.0787440945817,-0.0040254478210392,0.13850338003845,0.00690318545750168,-0.00527750440340569,0.161137893323208,-0.065201562240135,-0.0520340439915721,0.0121418395302526,-0.162599613985451
354,DR,-167.064316386,1.07683533475863,1.08584417429673,2.0366899092889,10.815088222793,1.76186789297238,2.53064454261327,11.2293192447201,2.41895417528432,10.0646257659286,0.0905513403740418,-0.0848767356896669,0.0114636826195849,-0.0158647946698789,0.0242387110438842,-0.0215775649012331,-0.034235803056287,-0.0894899013511332,-0.0141183286530602
355,DR,-167.0546862383,1.07780145458432,0.914173748380843,2.05269067791732,10.7981769070654,1.60965487642527,2.4616421897478,11.1438816130167,2.31942249031388,10.1358662740763,0.000966119825680956,-0.171670425915885,0.0160007686284227,-0.0169113157275973,-0.152213016547107,-0.0690023528654669,-0.0854376317033907,-0.0995316849704477,0.0712405081476906
356,DR,-167.0667599812,0.979606987626812,1.02743730775163,2.06793369370049,10.7962232809764,1.56632289931538,2.36305449062434,11.0296230436229,2.39475901409349,10.0595058640731,-0.0981944669575036,0.113263559370788,0.015243015783168,-0.00195362608898186,-0.0433319771098946,-0.098587699123462,-0.114258569393749,0.075336523779614,-0.0763604100032627
357,DR,-167.0550065137,0.99006270430618,1.17181402876196,2.08154521915543,10.7924377706297,1.63297629380807,2.35064193956883,10.9685352467742,2.52118884317308,9.99162733481973,0.0104557166793685,0.144376721010331,0.0136115254549405,-0.00378551034674501,0.0666533944926935,-0.0124125510555038,-0.0610877968487369,0.126429829079592,-0.0678785292533384
358,DR,-167.0619607873,1.09114874998292,1.10637276161999,2.09584541773283,10.7754879827663,1.62112948430352,2.4203163462587,10.9648880443146,2.55438331119685,10.0683162921339,0.101086045676743,-0.0654412671419751,0.0143001985773954,-0.016949787863453,-0.0118468095045492,0.0696744066898627,-0.00364720245959305,0.0331944680237655,0.0766889573141913
359,DR,-167.0587117933,1.08487508181608,0.933138792088019,2.11130972813456,10.7524485412642,1.49321575222902,2.4718808523425,10.9772708550296,2.53742355489682,10.2127979268308,-0.00627366816683872,-0.173233969531968,0.0154643104017369,-0.0230394415020569,-0.127913732074499,0.0515645060838024,0.0123828107149802,-0.0169597563000279,0.144481634696849
